FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,Field1,Field2,Field3,Field4,Field5,Field6,Distance
676,691,6/28/2011,0.405358796,29.46120000000,-92.62415000000,1276,-92.61000000000,,29.45000000000,,,0.82000000000,0.01804612
1499,1538,7/1/2011,0.378101852,29.43878832000,-92.59065643000,1276,-92.61000000000,,29.45000000000,,,0.82000000000,0.02235789
1497,1536,7/1/2011,0.377604167,29.42411771000,-92.57120249000,1277,-92.54000000000,,29.45000000000,,,1.07000000000,0.04053996
1498,1537,7/1/2011,0.377627315,29.42326886000,-92.57365158000,1277,-92.54000000000,,29.45000000000,,,1.07000000000,0.04297654
156,657,6/28/2011,0.364155093,29.48195970000,-92.32765045000,1280,-92.33000000000,,29.45000000000,,,1.26000000000,0.03204595
179,658,6/28/2011,0.364375,29.47679920000,-92.34966347000,1280,-92.33000000000,,29.45000000000,,,1.26000000000,0.03323927
648,659,6/28/2011,0.364791667,29.45646667000,-92.34561667000,1280,-92.33000000000,,29.45000000000,,,1.26000000000,0.01690261
649,660,6/28/2011,0.364837963,29.45508377000,-92.34923128000,1280,-92.33000000000,,29.45000000000,,,1.26000000000,0.01989188
1478,1517,7/1/2011,0.361469907,29.45581667000,-91.84448333000,1287,-91.84000000000,,29.45000000000,,,2.10000000000,0.00734397
1477,1516,7/1/2011,0.360486111,29.46460000000,-91.79695000000,1288,-91.77000000000,,29.45000000000,,,2.12000000000,0.03065065
98,132,6/25/2011,0.388553241,29.47045000000,-91.62890000000,1290,-91.63000000000,,29.45000000000,,,2.15000000000,0.02047956
608,614,6/27/2011,0.527789352,29.47736667000,-91.46838333000,1292,-91.49000000000,,29.45000000000,,,2.09000000000,0.03487427
980,1004,6/29/2011,0.123229167,29.48140000000,-91.49366667000,1292,-91.49000000000,,29.45000000000,,,2.09000000000,0.03161336
1343,1375,6/30/2011,0.487534722,29.50461667000,-91.36755000000,1294,-91.35000000000,,29.45000000000,,,2.04000000000,0.05736709
458,451,6/27/2011,0.381655093,29.77203333000,-91.10316667000,1295,-91.28000000000,,29.45000000000,,,2.02000000000,0.36739011
315,288,6/26/2011,0.403576389,29.41132222000,-89.59881111000,1296,-89.46000000000,,29.45000000000,,,1.35000000000,0.14409891
316,289,6/26/2011,0.403784722,29.42561111000,-89.58300556000,1296,-89.46000000000,,29.45000000000,,,1.35000000000,0.12540010
345,322,6/26/2011,0.443854167,30.13569444000,-89.79545556000,1296,-89.46000000000,,29.45000000000,,,1.35000000000,0.76335267
255,223,6/26/2011,0.355416667,30.22350556000,-89.11794444000,1300,-89.11000000000,,29.45000000000,,,1.22000000000,0.77354636
294,264,6/26/2011,0.382615741,29.46616667000,-88.87001667000,1303,-88.90000000000,,29.45000000000,,,1.43000000000,0.03406408
295,265,6/26/2011,0.383634259,29.43337681000,-88.88689034000,1303,-88.90000000000,,29.45000000000,,,1.43000000000,0.02117058
291,261,6/26/2011,0.379930556,29.46814519000,-88.79612058000,1304,-88.83000000000,,29.45000000000,,,1.32000000000,0.03843258
292,262,6/26/2011,0.380069444,29.47029848000,-88.80393582000,1304,-88.83000000000,,29.45000000000,,,1.32000000000,0.03303589
287,257,6/26/2011,0.378912037,29.46154626000,-88.74067646000,1305,-88.76000000000,,29.45000000000,,,1.20000000000,0.02251034
288,258,6/26/2011,0.379224537,29.46331155000,-88.75784344000,1305,-88.76000000000,,29.45000000000,,,1.20000000000,0.01348511
289,259,6/26/2011,0.379699074,29.46556091000,-88.78344740000,1305,-88.76000000000,,29.45000000000,,,1.20000000000,0.02814112
290,260,6/26/2011,0.379849537,29.46633399000,-88.79228714000,1305,-88.76000000000,,29.45000000000,,,1.20000000000,0.03618368
283,253,6/26/2011,0.377349537,29.45551417000,-88.65567206000,1306,-88.69000000000,,29.45000000000,,,1.07000000000,0.03476800
284,254,6/26/2011,0.3775,29.45551493000,-88.66385047000,1306,-88.69000000000,,29.45000000000,,,1.07000000000,0.02672475
285,255,6/26/2011,0.377731481,29.45688970000,-88.67620087000,1306,-88.69000000000,,29.45000000000,,,1.07000000000,0.01542349
286,256,6/26/2011,0.377928241,29.46158077000,-88.68627880000,1306,-88.69000000000,,29.45000000000,,,1.07000000000,0.01216395
166,201,6/26/2011,0.340497685,30.24560384000,-88.17023661000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.91393248
167,227,6/26/2011,0.356145833,29.96297199000,-88.38421546000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.56456586
216,171,6/26/2011,0.31875,29.47118333000,-87.99650000000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.62385975
217,172,6/26/2011,0.319699074,29.51627120000,-87.99526923000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.62823595
218,173,6/26/2011,0.324560185,29.73509887000,-88.00271673000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.67994117
219,174,6/26/2011,0.32619213,29.80661667000,-88.00245187000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.71312071
220,175,6/26/2011,0.326851852,29.84723145000,-88.00059040000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.73584039
221,176,6/26/2011,0.327268519,29.85502181000,-87.99650915000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.74349412
222,179,6/26/2011,0.327928241,29.89119185000,-87.99951675000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.76134730
223,180,6/26/2011,0.327986111,29.88593434000,-87.99707731000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.76031009
224,183,6/26/2011,0.328703704,29.91682152000,-88.00295324000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.77373706
225,184,6/26/2011,0.328888889,29.92486819000,-88.00104979000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.78012766
226,186,6/26/2011,0.330439815,29.99236667000,-88.00078333000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.82315909
227,187,6/26/2011,0.332384259,30.07539237000,-88.00198696000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.87923588
228,188,6/26/2011,0.333298611,30.11620643000,-87.99997517000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.91008890
229,189,6/26/2011,0.333506944,30.12553847000,-87.99997419000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.91694287
230,190,6/26/2011,0.333703704,30.13420893000,-87.99872568000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.92418810
231,191,6/26/2011,0.333761574,30.16817861000,-87.99662153000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.95098961
232,192,6/26/2011,0.334016204,30.14820705000,-87.99969333000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.93395581
233,193,6/26/2011,0.3346875,30.17664380000,-87.99834779000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.95627542
234,195,6/26/2011,0.335891204,30.22678507000,-87.99348333000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.99795700
235,196,6/26/2011,0.335949074,30.22893382000,-87.99446667000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.99901444
236,197,6/26/2011,0.338217593,30.21895000000,-88.05531667000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.95401854
237,198,6/26/2011,0.338391204,30.22433838000,-88.06438031000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.95305465
238,199,6/26/2011,0.33931713,30.22229513000,-88.11194113000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.92442608
239,200,6/26/2011,0.339502315,30.22352506000,-88.11979940000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.92116321
240,202,6/26/2011,0.340891204,30.22346328000,-88.19098666000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.88447605
241,203,6/26/2011,0.341226852,30.22193564000,-88.20782882000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.87508269
242,204,6/26/2011,0.342210648,30.22241667000,-88.25590000000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.85392993
243,205,6/26/2011,0.342395833,30.22032518000,-88.28897159000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.83843944
244,210,6/26/2011,0.344131944,30.24967580000,-88.35048165000,1307,-88.62000000000,,29.45000000000,,,0.83000000000,0.84387293
