id,a_lat,a_lon,Identifyin,,dist_shore
386,29.001,-90.412,1472,,4.3
387,29.006,-90.369,1469,,3.8
388,29.013,-90.208,1029,,7.9
389,29.014,-89.976,20,,18.2
390,29.015,-90.356,1467,,3.2
391,29.024,-90.344,1465,,2.9
392,29.026,-90.357,1466,,2.1
393,29.027,-90.435,1473,,1.7
394,29.029,-90.372,1468,,1.5
395,29.029,-90.32,1463,,3.6
396,29.034,-90.183,67,,6.4
397,29.042,-90.019,365,,13.6
398,29.046,-90.316,1461,,2.3
399,29.046,-90.302,1460,,3
400,29.047,-90.191,68,,4.9
401,29.048,-90.26,1454,,4
402,29.049,-90.332,74,,1.3
403,29.055,-90.284,1458,,3.1
404,29.056,-90.29,1459,,2.7
405,29.066,-90.267,1453,,2.2
406,29.067,-90.28,1455,,2
407,29.067,-90.26,1452,,2.1
408,29.071,-90.233,1447,,1.9
409,29.074,-90.222,34,,1.7
410,29.075,-90.227,35,,1.6
411,29.076,-90.259,1451,,1.2
412,29.076,-90.252,1450,,1.3
413,29.076,-90.193,69,,2.3
414,29.082,-90.25,72,,0.7
415,29.083,-90.248,36,,0.6
416,29.085,-90.258,37,,0.3
417,29.087,-90.268,39,,0.1
418,29.087,-90.264,38,,0.1
419,29.091,-90.195,70,,1
420,29.093,-90.196,33,,0.8
421,29.102,-90.177,377,,1.1
422,29.102,-90.177,376,,1.1
423,29.106,-90.192,71,,0.1
424,29.106,-90.192,71,,0.1
425,29.117,-90.177,32,,0.1
426,29.12,-90.106,31,,2.6
427,29.123,-90.116,30,,2
428,29.141,-90.407,307,,9.7
429,29.142,-90.117,29,,0.1
430,29.142,-90.107,28,,0.5
431,29.149,-90.098,27,,0.3
432,29.155,-90.098,26,,0.2
433,29.158,-90.058,42,,1.6
434,29.158,-90.058,42,,1.6
435,29.16,-90.038,368,,2.5
436,29.162,-90.045,43,,1.9
437,29.163,-90.082,25,,0.1
438,29.163,-90.045,369,,1.8
439,29.164,-90.077,24,,0.1
440,29.168,-90.044,371,,1.5
441,29.168,-90.044,370,,1.5
442,29.17,-90.065,23,,0.2
443,29.17,-90.053,372,,0.8
444,29.183,-90.049,373,,0.1
445,28.936,-89.731,333,,31.2
446,29.006,-89.594,310,,18.7
447,29.024,-89.799,15,,26.8
448,29.015,-89.007,291,,8
449,29.02,-88.922,335,,14.4
450,29.029,-89.026,290,,5.7
451,29.042,-88.948,336,,11.1
452,29.056,-88.93,286,,11.9
453,29.056,-88.93,285,,11.9
454,29.125,-88.633,276,,38.4
455,29.28,-93.676,883,,43.8
456,29.28,-93.658,884,,44.6
457,29.281,-93.691,885,,43.1
458,29.294,-93.668,882,,42.9
459,29.306,-93.649,881,,42.7
460,29.336,-93.663,880,,39.4
461,29.337,-93.691,880,,38
462,29.337,-93.668,880,,39.1
463,29.347,-93.675,879,,37.9
464,29.364,-93.823,851,,31.5
465,29.367,-93.647,877,,37.4
466,29.369,-93.662,876,,36.5
467,29.376,-93.674,875,,35.3
468,29.385,-93.627,874,,36.6
469,29.29,-92.919,705,,36.9
470,29.361,-92.963,703,,31.8
471,29.383,-92.94,1558,,28.9
472,29.408,-93.139,782,,33.1
473,29.427,-93.428,940,,32.9
474,29.434,-93.421,941,,32.2
475,29.434,-93.419,942,,32.2
476,29.454,-93.419,944,,30.2
477,29.208,-92.426,663,,33.7
478,29.218,-92.421,1664,,32.6
479,29.221,-92.349,1661,,30.7
480,29.221,-92.349,1662,,30.7
481,29.235,-92.398,1660,,30.5
482,29.237,-92.404,1659,,30.4
483,29.237,-92.338,1764,,28.9
484,29.237,-92.338,1763,,28.9
485,29.247,-92.447,1663,,30.4
486,29.252,-92.403,662,,28.9
487,29.253,-92.336,1656,,27.3
488,29.264,-92.372,1656,,27.1
489,29.267,-92.285,651,,25.2
490,29.268,-92.337,1521,,25.9
491,29.27,-92.411,1657,,27.4
492,29.27,-92.39,1656,,26.9
493,29.283,-92.401,1525,,25.9
494,29.288,-92.387,1524,,25.1
495,29.295,-92.401,1526,,24.7
496,29.321,-92.357,1522,,21.2
497,29.326,-92.479,1529,,23.3
498,29.336,-92.396,661,,20.6
499,29.35,-92.366,1654,,18.5
500,29.375,-92.57,1372,,19.9
501,29.38,-92.716,1371,,20.7
502,29.383,-92.774,1370,,22.7
503,29.392,-92.444,1653,,16.1
504,29.398,-92.387,1652,,14.3
505,29.398,-92.343,1651,,13.4
506,29.413,-92.361,1650,,12.3
507,29.439,-92.591,1538,,13.5
508,29.2,-92.263,1758,,31.9
509,29.218,-92.257,1759,,30.1
510,29.225,-92.263,1760,,29.4
511,29.231,-92.251,1762,,28.9
512,29.232,-92.264,1761,,28.7
513,29.238,-92.247,1765,,28.2
514,29.258,-92.251,1766,,26.2
515,29.259,-92.237,1767,,26.2
516,29.279,-92.214,1770,,24.7
517,29.28,-92.237,1769,,24.1
518,29.283,-92.241,1768,,23.8
519,29.331,-92.262,653,,18.8
520,29.372,-92.268,1374,,14.7
521,29.2,-91.62,1514,,20.5
522,29.225,-91.531,1513,,14.5
523,29.242,-91.631,1001,,17.1
524,29.252,-91.633,1002,,16.3
525,29.299,-91.625,613,,11.7
526,29.404,-90.356,314,,32.5
527,29.205,-89.588,315,,2.9
528,29.212,-89.566,316,,2
529,29.242,-89.705,321,,3.3
530,29.244,-89.605,318,,0.8
531,29.249,-89.655,1008,,0.9
532,29.26,-89.643,1007,,0.7
533,29.285,-89.678,10,,1.6
534,29.411,-89.599,288,,16.1
535,29.426,-89.583,289,,18.2
536,29.201,-88.779,274,,23.6
537,29.61,-93.644,867,,14.5
538,29.62,-93.649,866,,13.4
539,29.467,-93.414,945,,28.9
540,29.47,-93.417,946,,28.6
541,29.555,-92.893,699,,11.2
542,29.653,-92.896,1548,,2.1
543,29.476,-92.611,1636,,9.8
544,29.477,-92.35,658,,5.8
545,29.482,-92.328,657,,4.8
546,29.512,-92.306,951,,1.4
547,29.651,-92.871,1543,,1.4
548,29.511,-92.274,952,,0.8
549,29.471,-91.629,132,,3.8
