FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,DECSLON,DECSLAT,DEPTH,Distance
873,895,6/29/2011,0.482673611,28.87160000000,-93.65175000000,471,-93.74200000000,28.82900000000,12.40000000000,0.09979891
797,821,6/29/2011,0.389097222,28.88279023000,-93.85568411000,472,-93.88600000000,28.89700000000,12.90000000000,0.03348090
798,823,6/29/2011,0.38943287,28.89785915000,-93.85582105000,472,-93.88600000000,28.89700000000,12.90000000000,0.03019118
799,824,6/29/2011,0.389722222,28.91073202000,-93.85564987000,472,-93.88600000000,28.89700000000,12.90000000000,0.03331214
800,825,6/29/2011,0.38994213,28.92058333000,-93.85390000000,472,-93.88600000000,28.89700000000,12.90000000000,0.03983194
801,826,6/29/2011,0.390069444,28.92612560000,-93.85602702000,472,-93.88600000000,28.89700000000,12.90000000000,0.04179330
778,801,6/29/2011,0.361273148,28.89905981000,-94.10368957000,473,-93.98800000000,28.98500000000,10.70000000000,0.14411729
779,802,6/29/2011,0.361666667,28.87973046000,-94.10386055000,473,-93.98800000000,28.98500000000,10.70000000000,0.15654183
819,844,6/29/2011,0.39837963,29.08350514000,-93.85275752000,474,-93.88300000000,29.06200000000,10.30000000000,0.03710901
820,844,6/29/2011,0.39837963,29.08350040000,-93.85233533000,474,-93.88300000000,29.06200000000,10.30000000000,0.03745116
821,845,6/29/2011,0.398472222,29.08745762000,-93.85284452000,474,-93.88300000000,29.06200000000,10.30000000000,0.03946446
822,846,6/29/2011,0.400381944,29.17028333000,-93.84986667000,474,-93.88300000000,29.06200000000,10.30000000000,0.11323911
770,793,6/29/2011,0.353865741,29.25676667000,-94.10941117000,475,-94.08500000000,29.17400000000,8.20000000000,0.08629152
771,794,6/29/2011,0.354571759,29.22181667000,-94.10585000000,475,-94.08500000000,29.17400000000,8.20000000000,0.05216470
772,795,6/29/2011,0.3546875,29.21618812000,-94.10634094000,475,-94.08500000000,29.17400000000,8.20000000000,0.04727868
773,796,6/29/2011,0.3559375,29.15530000000,-94.10685000000,475,-94.08500000000,29.17400000000,8.20000000000,0.02875956
787,811,6/29/2011,0.375381944,28.32475000000,-93.97710000000,485,-93.91300000000,28.30100000000,31.90000000000,0.06835841
788,812,6/29/2011,0.3771875,28.35021937000,-93.88011744000,485,-93.91300000000,28.30100000000,31.90000000000,0.05919298
164,808,6/29/2011,0.3721875,28.36845457000,-94.09681936000,487,-94.11300000000,28.50000000000,21.50000000000,0.13253684
783,806,6/29/2011,0.36787037,28.58026667000,-94.10146667000,487,-94.11300000000,28.50000000000,21.50000000000,0.08109104
784,807,6/29/2011,0.369710648,28.49117819000,-94.09839248000,487,-94.11300000000,28.50000000000,21.50000000000,0.01706470
628,636,6/28/2011,0.334733796,28.41943333000,-92.53520000000,499,-92.58800000000,28.40200000000,30.50000000000,0.05560361
1660,1708,7/1/2011,0.47712963,28.39710262000,-92.68003333000,499,-92.58800000000,28.40200000000,30.50000000000,0.09216354
1661,1709,7/1/2011,0.477789352,28.39253743000,-92.66376030000,499,-92.58800000000,28.40200000000,30.50000000000,0.07634896
1662,1710,7/1/2011,0.478472222,28.39412412000,-92.63313289000,499,-92.58800000000,28.40200000000,30.50000000000,0.04581492
1663,1711,7/1/2011,0.479166667,28.38865479000,-92.60018016000,499,-92.58800000000,28.40200000000,30.50000000000,0.01806795
1664,1712,7/1/2011,0.479178241,28.39437946000,-92.59254957000,499,-92.58800000000,28.40200000000,30.50000000000,0.00887532
1665,1713,7/1/2011,0.479212963,28.39328279000,-92.57588142000,499,-92.58800000000,28.40200000000,30.50000000000,0.01492815
1666,1714,7/1/2011,0.479861111,28.39756667000,-92.56455000000,499,-92.58800000000,28.40200000000,30.50000000000,0.02386539
1667,1715,7/1/2011,0.480590278,28.40135713000,-92.51417036000,499,-92.58800000000,28.40200000000,30.50000000000,0.07383244
1668,1716,7/1/2011,0.480613426,28.40247561000,-92.50432679000,499,-92.58800000000,28.40200000000,30.50000000000,0.08367456
178,642,6/28/2011,0.339930556,28.66601152000,-92.54333749000,500,-92.49000000000,28.51300000000,26.20000000000,0.16204139
632,640,6/28/2011,0.338680556,28.59218394000,-92.47982570000,500,-92.49000000000,28.51300000000,26.20000000000,0.07983491
1674,1722,7/1/2011,0.482673611,28.47180214000,-92.46323058000,500,-92.49000000000,28.51300000000,26.20000000000,0.04913111
1675,1723,7/1/2011,0.483333333,28.48866646000,-92.45475696000,500,-92.49000000000,28.51300000000,26.20000000000,0.04282748
1676,1724,7/1/2011,0.484039352,28.52014183000,-92.44943720000,500,-92.49000000000,28.51300000000,26.20000000000,0.04118673
1677,1725,7/1/2011,0.484074074,28.53738273000,-92.44509096000,500,-92.49000000000,28.51300000000,26.20000000000,0.05110127
633,641,6/28/2011,0.339513889,28.63248817000,-92.47030753000,501,-92.37400000000,28.60100000000,21.00000000000,0.10132446
1678,1726,7/1/2011,0.484756944,28.56699544000,-92.43604689000,501,-92.37400000000,28.60100000000,21.00000000000,0.07075399
1679,1727,7/1/2011,0.486111111,28.61024854000,-92.42423282000,501,-92.37400000000,28.60100000000,21.00000000000,0.05107712
1680,1728,7/1/2011,0.486122685,28.61691655000,-92.43455153000,501,-92.37400000000,28.60100000000,21.00000000000,0.06260850
