a_lat,a_lon,Identifyin,Distance
28.49200000000,-93.49400000000,757,1.23374141
28.49600000000,-91.24000000000,1192,0.62691638
28.49700000000,-93.32500000000,751,1.25882796
28.49700000000,-92.90900000000,1595,1.12162674
28.49900000000,-91.11400000000,496,0.57798810
28.49900000000,-90.76100000000,1122,0.54097439
28.50300000000,-92.98800000000,1589,1.13677670
28.50300000000,-92.90200000000,1596,1.11412678
28.50400000000,-91.19400000000,1187,0.60024495
28.50400000000,-91.16400000000,1184,0.58905901
28.50600000000,-93.42900000000,913,1.24009097
28.50800000000,-93.42000000000,914,1.24119035
28.50800000000,-92.87100000000,1598,1.10230741
28.51200000000,-93.41500000000,915,1.23911297
28.51200000000,-90.77400000000,1125,0.52842261
28.51400000000,-90.67300000000,1107,0.53114432
28.51500000000,-93.44300000000,916,1.22703652
28.51600000000,-91.07700000000,514,0.55208903
28.51900000000,-90.71500000000,109,0.52194426
28.51900000000,-90.26000000000,84,0.54374839
28.52100000000,-91.28100000000,1193,0.62484001
28.52200000000,-92.99600000000,1588,1.12100207
28.52500000000,-91.60300000000,1402,0.79246130
28.52700000000,-93.30000000000,749,1.22171889
28.52900000000,-90.68100000000,1106,0.51522241
28.53200000000,-92.96500000000,730,1.10238411
28.53400000000,-91.33000000000,553,0.64079037
28.53600000000,-92.05100000000,601,0.96450769
28.53600000000,-90.77600000000,108,0.50455128
28.53700000000,-93.66500000000,898,1.15310293
28.53700000000,-93.40200000000,917,1.22019529
28.53700000000,-91.23700000000,1194,0.58915058
28.53900000000,-93.30200000000,748,1.21130684
28.54000000000,-92.31000000000,972,0.99225874
28.54000000000,-91.26700000000,1195,0.60134367
28.54200000000,-93.10400000000,732,1.13511045
28.54200000000,-91.16200000000,1180,0.55289286
28.54200000000,-91.10800000000,497,0.53508122
28.54300000000,-93.36700000000,918,1.21728090
28.54300000000,-92.19800000000,1373,0.99344622
28.54400000000,-92.81700000000,1599,1.05651039
28.54600000000,-91.15000000000,1179,0.54481958
