,a_lat,a_lon,cdom,chloro,oxy,salt,temp
180,28.6,-93.274,0.29,1.16,3.03,32.28,29.08
181,28.6,-91.637,0.34,1.16,3.42,31.22,29.53
182,28.602,-92.694,0.28,1.16,3.26,32.48,29.17
183,28.602,-91.38,0.51,1.18,2.88,27.81,29.76
184,28.602,-91.369,0.51,1.18,2.88,27.81,29.76
185,28.603,-93.261,0.29,1.16,3.03,32.28,29.08
186,28.603,-91.594,0.39,1.17,3.29,30.22,29.61
187,28.604,-91.396,0.49,1.17,3.04,28.23,29.78
188,28.605,-91.359,NA,NA,NA,NA,NA
189,28.608,-91.345,NA,NA,NA,NA,NA
190,28.61,-92.424,0.28,1.16,3.37,32.58,29.22
191,28.611,-92.682,0.28,1.16,3.26,32.48,29.17
192,28.611,-91.338,0.51,1.18,2.88,27.81,29.76
193,28.612,-93.666,0.3,1.16,2.87,32.13,29.01
194,28.613,-91.569,0.39,1.17,3.29,30.22,29.61
195,28.614,-93.267,0.29,1.16,3.03,32.28,29.08
196,28.614,-92.688,0.28,1.16,3.26,32.48,29.17
197,28.614,-91.793,NA,NA,NA,NA,NA
198,28.614,-91.273,0.48,1.19,2.36,28.82,29.46
199,28.615,-90.454,0.31,1.16,0.78,30.83,29.6
200,28.617,-93.175,NA,NA,NA,NA,NA
201,28.617,-92.435,0.28,1.16,3.37,32.58,29.22
202,28.619,-91.413,0.49,1.17,3.04,28.23,29.78
203,28.62,-91.341,NA,NA,NA,NA,NA
204,28.623,-91.285,0.48,1.19,2.36,28.82,29.46
205,28.624,-91.527,0.39,1.17,3.29,30.22,29.61
206,28.625,-93.191,0.29,1.16,3.06,32.3,29.09
207,28.625,-92.683,0.28,1.16,3.26,32.48,29.17
208,28.628,-92.203,0.28,1.16,3.45,32.65,29.26
209,28.631,-93.858,0.29,1.16,2.91,32.25,29.05
210,28.631,-92.019,0.28,1.16,3.5,32.7,29.28
211,28.633,-91.321,0.51,1.18,2.88,27.81,29.76
212,28.634,-93.267,0.29,1.16,3.03,32.28,29.08
213,28.634,-92.936,0.29,1.16,3.14,32.38,29.13
214,28.634,-91.412,0.49,1.17,3.04,28.23,29.78
215,28.636,-91.32,0.51,1.18,2.88,27.81,29.76
216,28.644,-92.657,0.28,1.16,3.26,32.48,29.17
217,28.646,-91.407,0.47,1.18,2.14,29.01,29.13
218,28.647,-91.535,0.41,1.17,3.25,29.48,29.46
219,28.648,-89.672,0.84,1.32,2.91,22.08,29.63
220,28.652,-89.675,0.84,1.32,2.91,22.08,29.63
221,28.656,-92.659,0.3,1.17,3.33,32.1,29.14
222,28.657,-91.534,0.41,1.17,3.25,29.48,29.46
223,28.657,-91.396,0.47,1.18,2.14,29.01,29.13
224,28.658,-89.689,0.84,1.32,2.91,22.08,29.63
225,28.665,-91.381,0.46,1.19,1.71,28.96,29.29
226,28.666,-92.543,0.3,1.17,3.38,32.15,29.17
227,28.666,-91.323,0.46,1.19,1.71,28.96,29.29
228,28.668,-91.517,0.35,1.15,2.7,30.87,28.95
229,28.671,-91.538,0.41,1.17,3.25,29.48,29.46
230,28.674,-91.323,0.46,1.19,1.71,28.96,29.29
231,28.675,-91.376,0.46,1.19,1.71,28.96,29.29
232,28.677,-91.327,0.46,1.19,1.71,28.96,29.29
233,28.68,-89.668,0.84,1.32,2.91,22.08,29.63
