Rowid,AS_LOCATIONS2011,X,Y,SST_4KM_A2011175,SST_4KM_A2011176,SST_4KM_A2011177,SST_4KM_A2011178,SST_4KM_A2011179,SST_4KM_A2011180,SST_4KM_A2011181,SST_4KM_A2011182
644,7995464,-90.35677503,29.02609909,0,0,44174,44657,45337,0,48676,46905
645,7995464,-91.92253611,29.02571747,0,43775,42132,43353,43306,45293,46612,47138
646,7995464,-90.82871871,29.02570009,0,44359,43696,45324,45098,0,48977,47557
647,7995464,-92.00906495,29.02564742,0,43796,0,44003,44047,45170,46649,47597
648,7995464,-90.7620528,29.02510933,0,44340,43575,45370,45467,44414,49595,0
649,7995464,-90.66502853,29.02488867,0,44213,44032,45270,45077,0,0,48565
650,7995464,-90.91395361,29.02482269,0,44274,44791,45531,44814,0,49687,47599
651,7995464,-90.34389031,29.02405015,0,0,44174,44657,45337,0,48676,46905
652,7995464,-89.79917631,29.02375312,0,44204,46039,46618,46102,46881,0,48520
653,7995464,-90.73396464,29.02340751,0,44340,43575,45370,45467,44414,49595,0
654,7995464,-91.7694,29.02283333,0,43656,42894,44185,44438,46375,47912,47319
655,7995464,-92.35603886,29.02272351,0,43775,41747,43925,43608,45304,46074,48136
656,7995464,-92.51322252,29.02268063,0,43757,41726,43204,43668,45168,46081,46864
657,7995464,-92.97284182,29.02144896,42393,43809,0,43826,43314,45039,45541,46126
658,7995464,-92.93836873,29.02061861,42337,43640,0,43765,43481,44591,45578,46319
659,7995464,-90.94204544,29.01989689,0,44146,44686,45134,44884,0,49754,46938
660,7995464,-93.65204373,29.01976379,40398,42831,41778,42742,42389,44536,44996,44026
661,7995464,-88.92208333,29.0196,0,0,46179,46006,0,45622,46763,0
662,7995464,-92.0144567,29.01828505,0,43796,0,44003,44047,45170,46649,47597
663,7995464,-92.79797189,29.01797625,42430,43738,0,43725,43232,0,45628,46150
664,7995464,-91.77029482,29.0178498,0,43656,42894,44185,44438,46375,47912,47319
665,7995464,-92.30818079,29.01748593,0,43875,41858,44002,43818,45210,46085,48109
666,7995464,-88.74751367,29.01740262,0,0,45374,46538,43625,45005,47728,0
667,7995464,-90.1726,29.01673333,0,44033,45103,44884,45590,44082,48601,46807
668,7995464,-90.3306,29.01671667,0,0,44818,45342,45195,0,48098,46610
669,7995464,-88.88796667,29.0167,0,0,45745,45523,44628,45912,47706,0
670,7995464,-92.0246371,29.01557115,0,43796,0,44003,44047,45170,46649,47597
671,7995464,-90.35641613,29.01530766,0,0,44174,44657,45337,0,48676,46905
672,7995464,-92.3754,29.01521667,0,43625,41788,0,43529,45384,46081,47387
673,7995464,-91.91963611,29.0146508,0,43775,42132,43353,43306,45293,46612,47138
674,7995464,-89.00655051,29.01461216,0,0,46538,46780,0,45326,0,0
675,7995464,-92.37005,29.01418333,0,43775,41747,43925,43608,45304,46074,48136
676,7995464,-89.97635582,29.01351376,0,44306,46214,45682,46616,47552,49089,48758
677,7995464,-90.20826211,29.01328136,0,44033,45103,44884,45590,44082,48601,46807
678,7995464,-92.80644011,29.01291692,42430,43738,0,43725,43232,0,45628,46150
679,7995464,-90.15448333,29.01243333,0,44347,45273,44924,45367,45651,48618,47904
680,7995464,-91.07251667,29.01215,0,43618,43715,45820,45008,46432,0,46344
681,7995464,-92.73398133,29.01155533,0,43732,41628,43791,43421,45309,45523,46330
682,7995464,-92.52093333,29.00976667,0,43757,41726,43204,43668,45168,46081,46864
683,7995464,-92.30996118,29.00918452,0,43875,41858,44002,43818,45210,46085,48109
684,7995464,-91.58811667,29.00906667,0,43815,43007,44828,45042,46469,48546,47336
685,7995464,-89.78938236,29.00871307,0,43953,46054,45005,46085,46561,0,48812
686,7995464,-91.0095129,29.00840156,0,44215,44144,45455,44906,43434,48983,45651
687,7995464,-90.1490335,29.0075375,0,44347,45273,44924,45367,45651,48618,47904
688,7995464,-93.15549616,29.00738005,0,43802,0,0,43022,45218,45810,46430
689,7995464,-90.36865862,29.00641517,0,0,44174,44657,45337,0,48676,46905
690,7995464,-94.11192325,29.00613729,40540,42860,42018,42735,42167,44218,44306,43477
691,7995464,-93.1284192,29.00612066,0,43802,0,0,43022,45218,45810,46430
692,7995464,-91.91550378,29.005689,0,43932,42163,43511,43369,44883,46436,47212
693,7995464,-89.59365103,29.00562578,0,44196,46740,45033,45905,45556,0,48683
694,7995464,-93.17715809,29.00522363,0,43807,0,0,42886,44486,45891,46201
695,7995464,-89.78873236,29.00502974,0,43953,46054,45005,46085,46561,0,48812
696,7995464,-93.85588333,29.0047,40630,43064,41493,43102,42452,44477,44833,43864
697,7995464,-91.41283333,29.00451667,0,43704,43427,0,45063,42144,48637,48683
698,7995464,-92.75899922,29.00429157,0,43732,41628,43791,43421,45309,45523,46330
699,7995464,-91.58773908,29.00428021,0,43815,43007,44828,45042,46469,48546,47336
700,7995464,-90.5242,29.00376667,0,43972,44411,45516,45492,0,0,47450
701,7995464,-92.83501544,29.00367197,42439,43599,0,43551,43254,45030,45594,46221
702,7995464,-89.78796377,29.00290588,0,43953,46054,45005,46085,46561,0,48812
703,7995464,-90.70958333,29.00208333,0,44340,43575,45370,45467,44414,49595,0
704,7995464,-91.09546128,29.00189003,0,43618,43715,45820,45008,46432,0,46344
705,7995464,-92.04275,29.00168333,0,43676,0,44298,43880,45132,46342,48209
706,7995464,-91.59441743,29.00133519,0,43815,43007,44828,45042,46469,48546,47336
