FID_1,Field1,a_lat,a_lon,Identifyin,Date,Time,Waypoint,Inclinomet,Sighting_S,Observer,Vessel_Sig,Number_Ves,Vessel_Act,Direction_,Associated,Animal_Sig,Number_in_,Species,School_Siz,Behavior,Notes,Line,Notes_1,Notes_Off_,Inbound_Ou,GlareL_Cat,GlareR_Cat,Sun_penetr,Air_Temp_C,Wind_direc,Wind_Speed,Cloud_Cove,location_x,location_y,Id,date_1,time_1,cdom,dist2cdom,chloro,dist2chlor,oxy,dist2oxy,salt,dist2salt,temp,dist2temp,A2011175_c,A2011176_c,A2011177_c,A2011178_c,A2011179_c,A2011180_c,A2011181_c,A2011182_c,A2011175_s,A2011176_s,A2011177_s,A2011178_s,A2011179_s,A2011180_s,A2011181_s,A2011182_s,A2011175_t,A2011176_t,A2011177_t,A2011178_t,A2011179_t,A2011180_t,A2011181_t,A2011182_t,FID_2,centroidID,cent_x,cent_y
39,40,28.406,-91.77,1398,6/30/2011,12:21:05,589,12,R,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,2,2,NA,NA,NA,NA,1,-63.3641,-63.36413124,1398,6/30/2011,0.514641204,0.21,0.00595121,1.15,0.00595121,3.4,0.00595121,33.93,0.00595121,29.42,0.00595121,0,0.194150001,0,0,0,0,0.264479995,0,0,0,28.84253883,28.47964478,0,29.06486702,30.07896805,29.96349907,0,0.044349998,0,0,0,0,0.046250001,0,161,21,-91.82498333,28.343975
20,21,28.354,-91.435,422,6/27/2011,8:36:11,363,1,R,LB,Shrimp Trawler,1,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,O,3,2,NA,NA,NA,NA,1,-63.0811,-63.08111111,422,6/27/2011,0.358460648,0.21,0.04841136,1.15,0.04841136,3.53,0.04841136,34.05,0.04841136,29.48,0.04841136,0,0,0,0,0,0,0.176850006,0.136590004,28.51119995,0,28.79592323,28.67758751,28.07228279,0,30.14925003,30.6268959,0,0,0,0,0,0,0.038040001,0.033229999,163,22,-91.42985,28.343975
35,36,28.405,-91.367,157,6/25/2011,9:45:06,115,11,L,KC,Shrimp Trawler,1,Stationary,NA,NA,NA,NA,NA,NA,NA,"Off Track, boat facing south",NA,NA,NA,C,3,1,1.5,22,SE,22,2,-62.9617,-62.96177241,157,6/25/2011,0.406319444,0.21,0.01733326,1.15,0.01733326,3.56,0.01733326,34.08,0.01733326,29.49,0.01733326,0,0,0,0,0,0,0,0,28.55853462,0,28.5434742,29.21690941,28.52482605,0,30.28981781,31.50401306,0,0,0,0,0,0,0,0,163,23,-91.42985,28.343975
12,13,28.313,-91.215,391,6/27/2011,7:35:32,334,1,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,2,3,NA,NA,NA,NA,1,-62.9026,-62.9026,390,6/27/2011,0.316342593,0.21,0.08759629,1.15,0.08759629,3.62,0.08759629,34.13,0.08759629,29.52,0.08759629,0,0.182129994,0,0,1.358459949,0,0.306950003,0.162290007,28.72779083,0,28.98956299,28.8705101,28.82891273,29.95561028,30.61326981,30.59032059,0,0.047699999,0,0,0.125799999,0,0.051660001,0.036740001,164,24,-91.23228333,28.343975
13,14,28.313,-91.215,390,6/27/2011,7:35:32,334,1,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I,2,3,NA,NA,NA,NA,1,-62.9026,-62.9026,390,6/27/2011,0.316342593,0.21,0.08759629,1.15,0.08759629,3.62,0.08759629,34.13,0.08759629,29.52,0.08759629,0,0.182129994,0,0,1.358459949,0,0.306950003,0.162290007,28.72779083,0,28.98956299,28.8705101,28.82891273,29.95561028,30.61326981,30.59032059,0,0.047699999,0,0,0.125799999,0,0.051660001,0.036740001,164,25,-91.23228333,28.343975
14,15,28.318,-91.075,592,6/27/2011,11:50:01,518,1,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,O,2,1,NA,NA,NA,NA,2,-62.7574,-62.75741111,592,6/27/2011,0.49306713,0.21,0.08247936,1.15,0.08247936,3.67,0.08247936,34.18,0.08247936,29.54,0.08247936,0,0.265060008,0,0,0,0,0.623570025,0.153600007,28.82030678,0,28.75074005,28.75719452,28.63312149,30.0760994,31.255867,30.89583969,0,0.058910001,0,0,0,0,0.079960003,0.036180001,165,26,-91.03471667,28.343975
15,16,28.326,-90.954,487,6/27/2011,9:32:30,426,1,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,O,3,1,NA,NA,NA,NA,1,-62.6279,-62.62787239,487,6/27/2011,0.397569444,0.21,0.07773601,1.16,0.07773601,3.69,0.07773601,34.05,0.07773601,29.6,0.07773601,0,0,0,0,0,0,1.413939953,0.374289989,28.76938629,0,28.84540939,28.96876335,28.5219574,29.48370361,31.31539536,31.66250992,0,0,0,0,0,0,0.129040003,0.062930003,165,27,-91.03471667,28.343975
24,25,28.372,-91.056,491,6/27/2011,9:38:20,430,4,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,2,1,NA,NA,NA,NA,1,-62.684,-62.68397875,491,6/27/2011,0.40162037,0.21,0.03100874,1.15,0.03100874,3.67,0.03100874,34.18,0.03100874,29.54,0.03100874,0,0.721800029,0,0,0,0,0.70630002,0.242489994,28.49685669,0,29.13228226,28.75576019,28.56642342,29.85018539,31.20781708,31.07083511,0,0.098470002,0,0,0,0,0.085709997,0.047959998,165,28,-91.03471667,28.343975
7,8,28.294,-90.885,488,6/27/2011,9:33:31,427,10,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,On the cross,NA,NA,NA,C,2,1,NA,NA,NA,NA,1,-62.5913,-62.59132318,488,6/27/2011,0.398275463,0.22,0.10928275,1.16,0.10928275,3.67,0.10928275,33.98,0.10928275,29.63,0.10928275,0,0,0,0,0,0,1.499950051,0.408329993,28.86764145,0,28.60013199,29.01609802,28.34050941,29.2111721,31.3103714,31.55780029,0,0,0,0,0,0,0.133980006,0.067740001,166,29,-90.83715,28.343975
17,18,28.334,-90.875,486,6/27/2011,9:32:12,425,7,R,LB,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,O,3,1,NA,NA,NA,NA,1,-62.5416,-62.54164599,486,6/27/2011,0.397361111,0.22,0.06799638,1.16,0.06799638,3.67,0.06799638,33.98,0.06799638,29.63,0.06799638,0,0,0,0,0,0,1.317649961,0.467550009,29.12511063,0,0,28.89202499,28.27381134,28.52912903,31.28240204,31.39069748,0,0,0,0,0,0,0.123499997,0.073040001,166,30,-90.83715,28.343975
